"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Jun 16 18:52:41 GMT 2022","Thu Jun 16 18:52:55 GMT 2022","13840","Surefire suite","Surefire test","com.qa.interview.sollution.full.stack.sollution.CucumberRunnerTest","com.qa.interview.sollution.full.stack.sollution.CucumberRunnerTest","runScenario","Runs Cucumber Scenarios",""
"passed","Thu Jun 16 18:52:41 GMT 2022","Thu Jun 16 18:52:42 GMT 2022","783","Surefire suite","Surefire test","com.qa.interview.sollution.full.stack.sollution.CucumberRunnerTest","com.qa.interview.sollution.full.stack.sollution.CucumberRunnerTest","runScenario","Runs Cucumber Scenarios",""
"passed","Thu Jun 16 18:52:41 GMT 2022","Thu Jun 16 18:52:47 GMT 2022","6101","","Frontend for OpenWeather","","Proper banner text displays on Home Page","","Proper banner text displays on Home Page","  Tests related to UI"
"failed","Thu Jun 16 18:52:35 GMT 2022","Thu Jun 16 18:52:40 GMT 2022","4627","","Weather API Smoke tests","","Weather should change based on temperature","","Weather should change based on temperature","  Smoke tests for weather API"
"failed","Thu Jun 16 18:52:35 GMT 2022","Thu Jun 16 18:52:40 GMT 2022","4643","","Weather API Smoke tests","","Weather should change based on temperature","","Weather should change based on temperature","  Smoke tests for weather API"
"failed","Thu Jun 16 18:52:41 GMT 2022","Thu Jun 16 18:52:41 GMT 2022","704","","Weather API Smoke tests","","Weather should change based on condition","","Weather should change based on condition","  Smoke tests for weather API"
"passed","Thu Jun 16 18:52:40 GMT 2022","Thu Jun 16 18:52:41 GMT 2022","713","","Weather API Smoke tests","","Weather should change based on temperature","","Weather should change based on temperature","  Smoke tests for weather API"
"failed","Thu Jun 16 18:52:35 GMT 2022","Thu Jun 16 18:52:40 GMT 2022","4643","","Weather API Smoke tests","","Weather should change based on temperature","","Weather should change based on temperature","  Smoke tests for weather API"
"failed","Thu Jun 16 18:52:40 GMT 2022","Thu Jun 16 18:52:40 GMT 2022","745","","Weather API Smoke tests","","Weather should change based on temperature","","Weather should change based on temperature","  Smoke tests for weather API"
"passed","Thu Jun 16 18:52:41 GMT 2022","Thu Jun 16 18:52:41 GMT 2022","677","","Weather API Smoke tests","","Weather should change based on condition","","Weather should change based on condition","  Smoke tests for weather API"
"passed","Thu Jun 16 18:52:40 GMT 2022","Thu Jun 16 18:52:41 GMT 2022","730","Surefire suite","Surefire test","com.qa.interview.sollution.full.stack.sollution.CucumberRunnerTest","com.qa.interview.sollution.full.stack.sollution.CucumberRunnerTest","runScenario","Runs Cucumber Scenarios",""
"failed","Thu Jun 16 18:52:40 GMT 2022","Thu Jun 16 18:52:40 GMT 2022","768","","Weather API Smoke tests","","Weather should change based on temperature","","Weather should change based on temperature","  Smoke tests for weather API"
"failed","Thu Jun 16 18:52:40 GMT 2022","Thu Jun 16 18:52:40 GMT 2022","741","","Weather API Smoke tests","","Weather should change based on temperature","","Weather should change based on temperature","  Smoke tests for weather API"
"passed","Thu Jun 16 18:52:41 GMT 2022","Thu Jun 16 18:52:41 GMT 2022","646","","Weather API Smoke tests","","Weather should change based on temperature","","Weather should change based on temperature","  Smoke tests for weather API"
"failed","Thu Jun 16 18:52:41 GMT 2022","Thu Jun 16 18:52:41 GMT 2022","668","","Weather API Smoke tests","","Weather should change based on condition","","Weather should change based on condition","  Smoke tests for weather API"
"passed","Thu Jun 16 18:52:35 GMT 2022","Thu Jun 16 18:52:40 GMT 2022","4800","","Weather API Regression tests","","Weather API should throw error for non-existing condition","","Weather API should throw error for non-existing condition","  Regression tests for weather API"
"failed","Thu Jun 16 18:52:41 GMT 2022","Thu Jun 16 18:52:55 GMT 2022","13770","","Frontend for OpenWeather","","Proper information is displayed on current forecast for Sydney, AU","","Proper information is displayed on current forecast for Sydney, AU","  Tests related to UI"
"failed","Thu Jun 16 18:52:40 GMT 2022","Thu Jun 16 18:52:40 GMT 2022","713","","Weather API Smoke tests","","Weather should change based on temperature","","Weather should change based on temperature","  Smoke tests for weather API"
"failed","Thu Jun 16 18:52:35 GMT 2022","Thu Jun 16 18:52:40 GMT 2022","4627","","Weather API Smoke tests","","Weather should change based on temperature","","Weather should change based on temperature","  Smoke tests for weather API"
"passed","Thu Jun 16 18:52:41 GMT 2022","Thu Jun 16 18:52:41 GMT 2022","653","","Weather API Smoke tests","","Weather should change based on temperature","","Weather should change based on temperature","  Smoke tests for weather API"
"passed","Thu Jun 16 18:52:41 GMT 2022","Thu Jun 16 18:52:47 GMT 2022","6130","Surefire suite","Surefire test","com.qa.interview.sollution.full.stack.sollution.CucumberRunnerTest","com.qa.interview.sollution.full.stack.sollution.CucumberRunnerTest","runScenario","Runs Cucumber Scenarios",""
"failed","Thu Jun 16 18:52:41 GMT 2022","Thu Jun 16 18:52:41 GMT 2022","663","","Weather API Smoke tests","","Weather should change based on condition","","Weather should change based on condition","  Smoke tests for weather API"
"passed","Thu Jun 16 18:52:21 GMT 2022","Thu Jun 16 18:52:40 GMT 2022","18475","Surefire suite","Surefire test","com.qa.interview.sollution.full.stack.sollution.CucumberRunnerTest","com.qa.interview.sollution.full.stack.sollution.CucumberRunnerTest","runScenario","Runs Cucumber Scenarios",""
"passed","Thu Jun 16 18:52:35 GMT 2022","Thu Jun 16 18:52:39 GMT 2022","4381","","Weather API Smoke tests","","Weather should change based on temperature","","Weather should change based on temperature","  Smoke tests for weather API"
"failed","Thu Jun 16 18:52:40 GMT 2022","Thu Jun 16 18:52:40 GMT 2022","725","","Weather API Smoke tests","","Weather should change based on temperature","","Weather should change based on temperature","  Smoke tests for weather API"
"passed","Thu Jun 16 18:52:41 GMT 2022","Thu Jun 16 18:52:42 GMT 2022","724","","Weather API Smoke tests","","Weather should change based on condition","","Weather should change based on condition","  Smoke tests for weather API"
