"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 16 19:16:47 GMT 2022","Thu Jun 16 19:16:56 GMT 2022","9854","Surefire suite","Surefire test","com.qa.interview.sollution.full.stack.sollution.CucumberRunnerTest","com.qa.interview.sollution.full.stack.sollution.CucumberRunnerTest","runScenario","Runs Cucumber Scenarios",""
"passed","Thu Jun 16 19:16:53 GMT 2022","Thu Jun 16 19:16:56 GMT 2022","2920","","Weather API Smoke tests","","Weather should change based on temperature","","Weather should change based on temperature","  Smoke tests for weather API"
"failed","Thu Jun 16 19:16:57 GMT 2022","Thu Jun 16 19:16:58 GMT 2022","943","","Weather API Smoke tests","","Weather should change based on condition","","Weather should change based on condition","  Smoke tests for weather API"
"passed","Thu Jun 16 19:16:57 GMT 2022","Thu Jun 16 19:16:58 GMT 2022","1038","Surefire suite","Surefire test","com.qa.interview.sollution.full.stack.sollution.CucumberRunnerTest","com.qa.interview.sollution.full.stack.sollution.CucumberRunnerTest","runScenario","Runs Cucumber Scenarios",""
"passed","Thu Jun 16 19:16:57 GMT 2022","Thu Jun 16 19:16:58 GMT 2022","943","","Weather API Smoke tests","","Weather should change based on temperature","","Weather should change based on temperature","  Smoke tests for weather API"
"failed","Thu Jun 16 19:16:57 GMT 2022","Thu Jun 16 19:16:58 GMT 2022","960","","Weather API Smoke tests","","Weather should change based on condition","","Weather should change based on condition","  Smoke tests for weather API"
"failed","Thu Jun 16 19:16:53 GMT 2022","Thu Jun 16 19:16:56 GMT 2022","3077","","Weather API Smoke tests","","Weather should change based on temperature","","Weather should change based on temperature","  Smoke tests for weather API"
"failed","Thu Jun 16 19:16:56 GMT 2022","Thu Jun 16 19:16:57 GMT 2022","1034","","Weather API Smoke tests","","Weather should change based on temperature","","Weather should change based on temperature","  Smoke tests for weather API"
"passed","Thu Jun 16 19:16:58 GMT 2022","Thu Jun 16 19:16:59 GMT 2022","972","Surefire suite","Surefire test","com.qa.interview.sollution.full.stack.sollution.CucumberRunnerTest","com.qa.interview.sollution.full.stack.sollution.CucumberRunnerTest","runScenario","Runs Cucumber Scenarios",""
"failed","Thu Jun 16 19:16:56 GMT 2022","Thu Jun 16 19:16:57 GMT 2022","987","","Weather API Smoke tests","","Weather should change based on temperature","","Weather should change based on temperature","  Smoke tests for weather API"
"passed","Thu Jun 16 19:16:56 GMT 2022","Thu Jun 16 19:16:57 GMT 2022","947","","Weather API Smoke tests","","Weather should change based on temperature","","Weather should change based on temperature","  Smoke tests for weather API"
"failed","Thu Jun 16 19:16:53 GMT 2022","Thu Jun 16 19:16:56 GMT 2022","3070","","Weather API Smoke tests","","Weather should change based on temperature","","Weather should change based on temperature","  Smoke tests for weather API"
"passed","Thu Jun 16 19:16:57 GMT 2022","Thu Jun 16 19:16:58 GMT 2022","1013","","Weather API Smoke tests","","Weather should change based on temperature","","Weather should change based on temperature","  Smoke tests for weather API"
"passed","Thu Jun 16 19:16:58 GMT 2022","Thu Jun 16 19:16:59 GMT 2022","962","","Weather API Smoke tests","","Weather should change based on condition","","Weather should change based on condition","  Smoke tests for weather API"
"failed","Thu Jun 16 19:16:57 GMT 2022","Thu Jun 16 19:16:58 GMT 2022","943","","Weather API Smoke tests","","Weather should change based on condition","","Weather should change based on condition","  Smoke tests for weather API"
"passed","Thu Jun 16 19:16:57 GMT 2022","Thu Jun 16 19:16:58 GMT 2022","974","","Weather API Smoke tests","","Weather should change based on condition","","Weather should change based on condition","  Smoke tests for weather API"
"passed","Thu Jun 16 19:16:53 GMT 2022","Thu Jun 16 19:16:56 GMT 2022","3028","","Weather API Smoke tests","","Weather should change based on temperature","","Weather should change based on temperature","  Smoke tests for weather API"
"failed","Thu Jun 16 19:16:56 GMT 2022","Thu Jun 16 19:16:57 GMT 2022","1059","","Weather API Smoke tests","","Weather should change based on temperature","","Weather should change based on temperature","  Smoke tests for weather API"
"failed","Thu Jun 16 19:16:56 GMT 2022","Thu Jun 16 19:16:57 GMT 2022","1013","","Weather API Smoke tests","","Weather should change based on temperature","","Weather should change based on temperature","  Smoke tests for weather API"
"passed","Thu Jun 16 19:16:58 GMT 2022","Thu Jun 16 19:17:04 GMT 2022","5431","","Frontend for OpenWeather","","Proper banner text displays on Home Page","","Proper banner text displays on Home Page","  Tests related to UI"
"failed","Thu Jun 16 19:16:58 GMT 2022","Thu Jun 16 19:17:12 GMT 2022","13834","","Frontend for OpenWeather","","Proper information is displayed on current forecast for Sydney, AU","","Proper information is displayed on current forecast for Sydney, AU","  Tests related to UI"
"passed","Thu Jun 16 19:16:53 GMT 2022","Thu Jun 16 19:16:56 GMT 2022","3018","","Weather API Smoke tests","","Weather should change based on temperature","","Weather should change based on temperature","  Smoke tests for weather API"
"passed","Thu Jun 16 19:16:53 GMT 2022","Thu Jun 16 19:16:56 GMT 2022","3215","","Weather API Regression tests","","Weather API should throw error for non-existing condition","","Weather API should throw error for non-existing condition","  Regression tests for weather API"
