"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 16 17:29:40 GMT 2022","Thu Jun 16 17:29:49 GMT 2022","9191","","Frontend for OpenWeather","","Proper banner text displays on Home Page","","Proper banner text displays on Home Page","  Tests related to UI"
"failed","Thu Jun 16 17:29:38 GMT 2022","Thu Jun 16 17:29:39 GMT 2022","675","","Weather API Smoke tests","","Weather should change based on temperature","","Weather should change based on temperature","  Smoke tests for weather API"
"passed","Thu Jun 16 17:29:35 GMT 2022","Thu Jun 16 17:29:38 GMT 2022","3799","","Weather API Smoke tests","","Weather should change based on temperature","","Weather should change based on temperature","  Smoke tests for weather API"
"passed","Thu Jun 16 17:29:40 GMT 2022","Thu Jun 16 17:29:40 GMT 2022","619","","Weather API Smoke tests","","Weather should change based on condition","","Weather should change based on condition","  Smoke tests for weather API"
"failed","Thu Jun 16 17:29:35 GMT 2022","Thu Jun 16 17:29:38 GMT 2022","3781","","Weather API Smoke tests","","Weather should change based on temperature","","Weather should change based on temperature","  Smoke tests for weather API"
"failed","Thu Jun 16 17:29:39 GMT 2022","Thu Jun 16 17:29:40 GMT 2022","677","","Weather API Smoke tests","","Weather should change based on condition","","Weather should change based on condition","  Smoke tests for weather API"
"broken","Thu Jun 16 17:29:40 GMT 2022","Thu Jun 16 17:29:51 GMT 2022","11475","Surefire suite","Surefire test","com.qa.interview.sollution.full.stack.sollution.CucumberRunnerTest","com.qa.interview.sollution.full.stack.sollution.CucumberRunnerTest","runScenario","Runs Cucumber Scenarios",""
"passed","Thu Jun 16 17:29:39 GMT 2022","Thu Jun 16 17:29:39 GMT 2022","649","","Weather API Smoke tests","","Weather should change based on temperature","","Weather should change based on temperature","  Smoke tests for weather API"
"failed","Thu Jun 16 17:29:38 GMT 2022","Thu Jun 16 17:29:39 GMT 2022","703","","Weather API Smoke tests","","Weather should change based on temperature","","Weather should change based on temperature","  Smoke tests for weather API"
"failed","Thu Jun 16 17:29:38 GMT 2022","Thu Jun 16 17:29:39 GMT 2022","691","","Weather API Smoke tests","","Weather should change based on temperature","","Weather should change based on temperature","  Smoke tests for weather API"
"passed","Thu Jun 16 17:29:35 GMT 2022","Thu Jun 16 17:29:38 GMT 2022","3770","","Weather API Smoke tests","","Weather should change based on temperature","","Weather should change based on temperature","  Smoke tests for weather API"
"passed","Thu Jun 16 17:29:40 GMT 2022","Thu Jun 16 17:29:40 GMT 2022","638","Surefire suite","Surefire test","com.qa.interview.sollution.full.stack.sollution.CucumberRunnerTest","com.qa.interview.sollution.full.stack.sollution.CucumberRunnerTest","runScenario","Runs Cucumber Scenarios",""
"failed","Thu Jun 16 17:29:39 GMT 2022","Thu Jun 16 17:29:40 GMT 2022","655","","Weather API Smoke tests","","Weather should change based on condition","","Weather should change based on condition","  Smoke tests for weather API"
"passed","Thu Jun 16 17:29:35 GMT 2022","Thu Jun 16 17:29:39 GMT 2022","4019","","Weather API Regression tests","","Weather API should throw error for non-existing condition","","Weather API should throw error for non-existing condition","  Regression tests for weather API"
"passed","Thu Jun 16 17:29:40 GMT 2022","Thu Jun 16 17:29:49 GMT 2022","9230","Surefire suite","Surefire test","com.qa.interview.sollution.full.stack.sollution.CucumberRunnerTest","com.qa.interview.sollution.full.stack.sollution.CucumberRunnerTest","runScenario","Runs Cucumber Scenarios",""
"failed","Thu Jun 16 17:29:35 GMT 2022","Thu Jun 16 17:29:38 GMT 2022","3795","","Weather API Smoke tests","","Weather should change based on temperature","","Weather should change based on temperature","  Smoke tests for weather API"
"passed","Thu Jun 16 17:29:31 GMT 2022","Thu Jun 16 17:29:39 GMT 2022","7734","Surefire suite","Surefire test","com.qa.interview.sollution.full.stack.sollution.CucumberRunnerTest","com.qa.interview.sollution.full.stack.sollution.CucumberRunnerTest","runScenario","Runs Cucumber Scenarios",""
"failed","Thu Jun 16 17:29:39 GMT 2022","Thu Jun 16 17:29:40 GMT 2022","672","","Weather API Smoke tests","","Weather should change based on condition","","Weather should change based on condition","  Smoke tests for weather API"
"failed","Thu Jun 16 17:29:38 GMT 2022","Thu Jun 16 17:29:39 GMT 2022","718","","Weather API Smoke tests","","Weather should change based on temperature","","Weather should change based on temperature","  Smoke tests for weather API"
"broken","Thu Jun 16 17:29:40 GMT 2022","Thu Jun 16 17:29:51 GMT 2022","11453","","Frontend for OpenWeather","","Proper information is displayed on current forecast for Sydney, AU","","Proper information is displayed on current forecast for Sydney, AU","  Tests related to UI"
"passed","Thu Jun 16 17:29:39 GMT 2022","Thu Jun 16 17:29:40 GMT 2022","650","","Weather API Smoke tests","","Weather should change based on temperature","","Weather should change based on temperature","  Smoke tests for weather API"
"passed","Thu Jun 16 17:29:39 GMT 2022","Thu Jun 16 17:29:40 GMT 2022","674","Surefire suite","Surefire test","com.qa.interview.sollution.full.stack.sollution.CucumberRunnerTest","com.qa.interview.sollution.full.stack.sollution.CucumberRunnerTest","runScenario","Runs Cucumber Scenarios",""
"passed","Thu Jun 16 17:29:35 GMT 2022","Thu Jun 16 17:29:38 GMT 2022","3683","","Weather API Smoke tests","","Weather should change based on temperature","","Weather should change based on temperature","  Smoke tests for weather API"
"failed","Thu Jun 16 17:29:38 GMT 2022","Thu Jun 16 17:29:39 GMT 2022","677","","Weather API Smoke tests","","Weather should change based on temperature","","Weather should change based on temperature","  Smoke tests for weather API"
"passed","Thu Jun 16 17:29:39 GMT 2022","Thu Jun 16 17:29:40 GMT 2022","626","","Weather API Smoke tests","","Weather should change based on temperature","","Weather should change based on temperature","  Smoke tests for weather API"
"failed","Thu Jun 16 17:29:39 GMT 2022","Thu Jun 16 17:29:40 GMT 2022","639","","Weather API Smoke tests","","Weather should change based on condition","","Weather should change based on condition","  Smoke tests for weather API"
